# Spectral Data
# f in Hz A in dBV
Hz dBV
0.000000 -15.377863
1.464844 -14.634824
2.929687 -14.048924
4.394531 -13.606714
5.859375 -13.245078
7.324219 -12.971722
8.789062 -12.828342
10.253906 -12.802320
11.718750 -12.891995
13.183594 -13.047378
14.648437 -13.266726
16.113281 -13.417296
17.578125 -13.467953
19.042969 -13.510851
20.507812 -13.562329
21.972656 -13.657780
23.437500 -13.742413
24.902344 -13.706120
26.367187 -13.603597
27.832031 -13.452496
29.296875 -13.360224
30.761719 -13.347933
32.226562 -13.416004
33.691406 -13.565305
35.156250 -13.777465
36.621094 -13.942297
38.085937 -14.134130
39.550781 -14.355808
41.015625 -14.567138
42.480469 -14.661787
43.945312 -14.676044
45.410156 -14.624667
46.875000 -14.554264
48.339844 -14.454346
49.804687 -14.396066
51.269531 -14.157371
52.734375 -13.761880
54.199219 -13.486916
55.664062 -13.378995
57.128906 -13.436821
58.593750 -13.660917
60.058594 -14.051488
61.523437 -14.579972
62.988281 -14.932836
64.453125 -15.057708
65.917969 -15.106670
67.382812 -15.131666
68.847656 -15.120015
70.312500 -15.166563
71.777344 -15.234852
73.242187 -15.257725
74.707031 -15.258081
76.171875 -15.262162
77.636719 -15.292419
79.101562 -15.302074
80.566406 -15.371643
82.031250 -15.414623
83.496094 -15.384488
84.960937 -15.386540
86.425781 -15.435651
87.890625 -15.480934
89.355469 -15.519261
90.820312 -15.520492
92.285156 -15.435193
93.750000 -15.419489
95.214844 -15.394684
96.679687 -15.392082
98.144531 -15.417509
99.609375 -15.390234
101.074219 -15.246798
102.539062 -15.077027
104.003906 -14.951796
105.468750 -14.793155
106.933594 -14.725076
108.398437 -14.708850
109.863281 -14.729992
111.328125 -14.683022
112.792969 -14.633574
114.257812 -14.559146
115.722656 -14.497235
117.187500 -14.442762
118.652344 -14.413613
120.117187 -14.473501
121.582031 -14.529763
123.046875 -14.572319
124.511719 -14.599137
125.976562 -14.573760
127.441406 -14.545200
128.906250 -14.577725
130.371094 -14.570568
131.835937 -14.606959
133.300781 -14.677834
134.765625 -14.726070
136.230469 -14.783752
137.695312 -14.845978
139.160156 -14.890022
140.625000 -14.942508
142.089844 -14.958278
143.554687 -14.984087
145.019531 -14.907987
146.484375 -14.833804
147.949219 -14.760233
149.414062 -14.716789
150.878906 -14.612332
152.343750 -14.415131
153.808594 -14.203882
155.273437 -14.090973
156.738281 -14.114061
158.203125 -14.288130
159.667969 -14.549723
161.132812 -14.826476
162.597656 -15.024029
164.062500 -15.059548
165.527344 -15.076732
166.992187 -15.118956
168.457031 -15.214337
169.921875 -15.197879
171.386719 -15.102572
172.851562 -15.033952
174.316406 -14.968841
175.781250 -14.886593
177.246094 -14.857826
178.710937 -14.834681
180.175781 -14.781653
181.640625 -14.697632
183.105469 -14.612491
184.570312 -14.565412
186.035156 -14.630101
187.500000 -14.763068
188.964844 -14.811810
190.429687 -14.809167
191.894531 -14.820498
193.359375 -14.838370
194.824219 -14.842676
196.289062 -14.914527
197.753906 -14.937226
199.218750 -14.963659
200.683594 -14.964335
202.148437 -14.949748
203.613281 -14.918795
205.078125 -14.910389
206.542969 -14.885805
208.007812 -14.866659
209.472656 -14.877181
210.937500 -14.919722
212.402344 -14.957385
213.867187 -14.929474
215.332031 -14.902048
216.796875 -14.855239
218.261719 -14.814927
219.726562 -14.754177
221.191406 -14.698331
222.656250 -14.712100
224.121094 -14.720584
225.585937 -14.752912
227.050781 -14.754292
228.515625 -14.760700
229.980469 -14.754367
231.445312 -14.766731
232.910156 -14.774063
234.375000 -14.759940
235.839844 -14.672699
237.304687 -14.553177
238.769531 -14.442574
240.234375 -14.380149
241.699219 -14.370530
243.164062 -14.405877
244.628906 -14.478126
246.093750 -14.525214
247.558594 -14.571617
249.023437 -14.640223
250.488281 -14.627220
251.953125 -14.545152
253.417969 -14.450371
254.882812 -14.385941
256.347656 -14.403229
257.812500 -14.507634
259.277344 -14.623046
260.742187 -14.619449
262.207031 -14.607496
263.671875 -14.637300
265.136719 -14.621309
266.601562 -14.623232
268.066406 -14.675993
269.531250 -14.705281
270.996094 -14.764300
272.460937 -14.844184
273.925781 -14.933865
275.390625 -15.023675
276.855469 -15.074193
278.320312 -15.070534
