# Spectral Data
# f in Hz	A in dBV
0.000000	-13.944471
1.464844	-13.218628
2.929687	-12.607690
4.394531	-12.141175
5.859375	-11.741029
7.324219	-11.452051
8.789062	-11.249477
10.253906	-11.158565
11.718750	-11.117902
13.183594	-11.161134
14.648437	-11.211065
16.113281	-11.346855
17.578125	-11.398137
19.042969	-11.498900
20.507812	-11.616372
21.972656	-11.784753
23.437500	-11.873724
24.902344	-11.901582
26.367187	-11.996939
27.832031	-11.952896
29.296875	-11.923208
30.761719	-11.966716
32.226562	-12.051753
33.691406	-12.198508
35.156250	-12.344775
36.621094	-12.473229
38.085937	-12.559498
39.550781	-12.692169
41.015625	-12.779751
42.480469	-12.817506
43.945312	-12.759275
45.410156	-12.750344
46.875000	-12.696855
48.339844	-12.645603
49.804687	-12.538719
51.269531	-12.515609
52.734375	-12.454646
54.199219	-12.359051
55.664062	-12.346734
57.128906	-12.415251
58.593750	-12.530745
60.058594	-12.635092
61.523437	-12.678688
62.988281	-12.704896
64.453125	-12.641397
65.917969	-12.587232
67.382812	-12.539730
68.847656	-12.468172
70.312500	-12.390512
71.777344	-12.365978
73.242187	-12.353352
74.707031	-12.334407
76.171875	-12.301089
77.636719	-12.273698
79.101562	-12.240015
80.566406	-12.253447
82.031250	-12.375394
83.496094	-12.508262
84.960937	-12.583697
86.425781	-12.619764
87.890625	-12.745579
89.355469	-12.773291
90.820312	-12.811458
92.285156	-12.854700
93.750000	-12.880704
95.214844	-12.881597
96.679687	-12.943458
98.144531	-12.954904
99.609375	-12.944888
101.074219	-12.930625
102.539062	-12.944276
104.003906	-12.913877
105.468750	-12.896136
106.933594	-12.904053
108.398437	-12.941211
109.863281	-13.017003
111.328125	-13.118068
112.792969	-13.181165
114.257812	-13.210408
115.722656	-13.222059
117.187500	-13.206618
118.652344	-13.187450
120.117187	-13.160107
121.582031	-13.141237
123.046875	-13.085509
124.511719	-13.056335
125.976562	-13.000671
127.441406	-12.942684
128.906250	-12.951481
130.371094	-12.894858
131.835937	-12.798687
133.300781	-12.709976
134.765625	-12.652854
136.230469	-12.579898
137.695312	-12.478897
139.160156	-12.349247
140.625000	-12.251687
142.089844	-12.050942
143.554687	-11.878436
145.019531	-11.749454
146.484375	-11.701087
147.949219	-11.700373
149.414062	-11.762814
150.878906	-11.920982
152.343750	-12.086076
153.808594	-12.224746
155.273437	-12.354517
156.738281	-12.462491
158.203125	-12.569243
159.667969	-12.697632
161.132812	-12.853690
162.597656	-13.025272
164.062500	-13.122604
165.527344	-13.224956
166.992187	-13.253829
168.457031	-13.257970
169.921875	-13.207248
171.386719	-13.248703
172.851562	-13.312195
174.316406	-13.377979
175.781250	-13.336645
177.246094	-13.352170
178.710937	-13.345730
180.175781	-13.384513
181.640625	-13.408233
183.105469	-13.435046
184.570312	-13.427732
186.035156	-13.472448
187.500000	-13.545692
188.964844	-13.596029
190.429687	-13.639801
191.894531	-13.628171
193.359375	-13.557249
194.824219	-13.501319
196.289062	-13.529682
197.753906	-13.594350
199.218750	-13.596339
200.683594	-13.563706
202.148437	-13.538814
203.613281	-13.536267
205.078125	-13.544189
206.542969	-13.494117
208.007812	-13.405475
209.472656	-13.363182
210.937500	-13.385856
212.402344	-13.462360
213.867187	-13.416484
215.332031	-13.368327
216.796875	-13.296043
218.261719	-13.263946
219.726562	-13.257138
221.191406	-13.240819
222.656250	-13.249893
224.121094	-13.256779
225.585937	-13.180697
227.050781	-13.137939
228.515625	-13.132890
229.980469	-13.068613
231.445312	-13.036470
232.910156	-12.978510
234.375000	-12.987958
235.839844	-12.995954
237.304687	-13.003028
238.769531	-12.932255
240.234375	-12.901240
241.699219	-12.925771
243.164062	-12.895974
244.628906	-12.937637
246.093750	-12.899736
247.558594	-12.870586
249.023437	-12.858518
250.488281	-12.787242
251.953125	-12.774146
253.417969	-12.766766
254.882812	-12.766072
256.347656	-12.766291
257.812500	-12.766131
259.277344	-12.745827
260.742187	-12.723559
262.207031	-12.718322
263.671875	-12.684390
265.136719	-12.616666
266.601562	-12.561203
268.066406	-12.539476
269.531250	-12.499734
270.996094	-12.488675
272.460937	-12.441403
273.925781	-12.384141
275.390625	-12.372125
276.855469	-12.286503
278.320312	-12.249620
279.785156	-12.230826
281.250000	-12.202706
282.714844	-12.102675
284.179687	-12.037275
285.644531	-11.963993
287.109375	-11.890521
288.574219	-11.844678
290.039062	-11.814098
291.503906	-11.823036
292.968750	-11.902914
294.433594	-12.050198
295.898437	-12.197382
297.363281	-12.356081
298.828125	-12.546665
300.292969	-12.701117
301.757812	-12.860263
303.222656	-13.000226
304.687500	-13.100011
306.152344	-13.218447
307.617187	-13.323501
309.082031	-13.422369
310.546875	-13.501773
312.011719	-13.600167
313.476562	-13.689560
314.941406	-13.776085
316.406250	-13.825046
317.871094	-13.914549
319.335937	-14.017291
320.800781	-14.143981
322.265625	-14.201067
323.730469	-14.283797
325.195312	-14.333463
326.660156	-14.362655
328.125000	-14.395130
329.589844	-14.372480
331.054687	-14.393551
332.519531	-14.438617
333.984375	-14.463650
335.449219	-14.480571
336.914062	-14.554670
338.378906	-14.575410
339.843750	-14.637146
341.308594	-14.637175
342.773437	-14.661420
344.238281	-14.683445
345.703125	-14.739505
347.167969	-14.762295
348.632812	-14.795823
350.097656	-14.849707
351.562500	-14.841125
353.027344	-14.767082
354.492187	-14.717885
355.957031	-14.706983
357.421875	-14.753139
358.886719	-14.936860
360.351562	-14.987807
361.816406	-15.028744
363.281250	-15.009580
364.746094	-14.986256
366.210937	-14.938313
367.675781	-14.900853
369.140625	-14.859244
370.605469	-14.915338
372.070312	-14.938310
373.535156	-14.951109
375.000000	-14.919264
376.464844	-14.925843
377.929687	-14.927466
379.394531	-14.944752
380.859375	-14.917676
382.324219	-14.911064
383.789062	-14.833353
385.253906	-14.794458
386.718750	-14.777003
388.183594	-14.762655
389.648437	-14.741056
391.113281	-14.722468
392.578125	-14.656089
394.042969	-14.624511
395.507812	-14.584727
396.972656	-14.573375
398.437500	-14.538434
399.902344	-14.522190
401.367187	-14.490736
402.832031	-14.497974
404.296875	-14.497345
405.761719	-14.403138
407.226562	-14.314085
408.691406	-14.276795
410.156250	-14.230695
411.621094	-14.149248
413.085937	-14.022943
414.550781	-13.896144
416.015625	-13.765987
417.480469	-13.683342
418.945312	-13.534280
420.410156	-13.444636
421.875000	-13.316637
423.339844	-13.175632
424.804687	-13.003827
426.269531	-12.861132
427.734375	-12.736735
429.199219	-12.727476
430.664062	-12.747351
432.128906	-12.791325
433.593750	-12.820658
435.058594	-12.854948
436.523437	-12.963890
437.988281	-13.084389
439.453125	-13.248909
440.917969	-13.315121
442.382812	-13.426718
443.847656	-13.471992
445.312500	-13.457287
446.777344	-13.476225
448.242187	-13.509281
449.707031	-13.501175
451.171875	-13.537795
452.636719	-13.537614
454.101562	-13.537497
455.566406	-13.529049
457.031250	-13.591064
458.496094	-13.648225
459.960937	-13.665812
461.425781	-13.687221
462.890625	-13.761158
464.355469	-13.802799
465.820312	-13.893707
467.285156	-13.842652
468.750000	-13.814306
470.214844	-13.778938
471.679687	-13.781903
473.144531	-13.802782
474.609375	-13.782766
476.074219	-13.750391
477.539062	-13.729134
479.003906	-13.769806
480.468750	-13.767564
481.933594	-13.822662
483.398437	-13.941027
484.863281	-13.967739
486.328125	-13.956420
487.792969	-13.937210
489.257812	-13.944364
490.722656	-13.992701
492.187500	-14.011239
493.652344	-14.074031
495.117187	-14.058389
496.582031	-14.052310
498.046875	-14.102584
499.511719	-14.080630
500.976562	-14.095954
502.441406	-14.141648
503.906250	-14.199574
505.371094	-14.292513
506.835937	-14.342627
508.300781	-14.346556
509.765625	-14.354300
511.230469	-14.378662
512.695312	-14.392050
514.160156	-14.401136
515.625000	-14.458383
517.089844	-14.514500
518.554687	-14.545935
520.019531	-14.596850
521.484375	-14.611129
522.949219	-14.666533
524.414062	-14.717030
525.878906	-14.702909
527.343750	-14.708530
528.808594	-14.670805
530.273437	-14.672267
531.738281	-14.696020
533.203125	-14.679773
534.667969	-14.687149
536.132812	-14.688838
537.597656	-14.684397
539.062500	-14.699907
540.527344	-14.735897
541.992187	-14.716112
543.457031	-14.710752
544.921875	-14.687977
546.386719	-14.670953
547.851562	-14.704329
549.316406	-14.684968
550.781250	-14.630869
552.246094	-14.597656
553.710937	-14.505954
555.175781	-14.444022
556.640625	-14.402177
558.105469	-14.385234
559.570312	-14.420059
561.035156	-14.379676
562.500000	-14.333834
563.964844	-14.255669
565.429687	-14.173801
566.894531	-14.102304
568.359375	-13.943775
569.824219	-13.865548
571.289062	-13.788322
572.753906	-13.758116
574.218750	-13.754412
575.683594	-13.767614
577.148437	-13.810125
578.613281	-13.907848
580.078125	-14.049670
581.542969	-14.199365
583.007812	-14.271518
584.472656	-14.296674
585.937500	-14.386687
587.402344	-14.510152
588.867187	-14.640319
590.332031	-14.708880
591.796875	-14.774532
593.261719	-14.861688
594.726562	-14.910425
596.191406	-14.981950
597.656250	-14.996569
599.121094	-15.037669
600.585937	-15.077797
602.050781	-15.131254
603.515625	-15.176684
604.980469	-15.217383
606.445312	-15.289591
607.910156	-15.323754
609.375000	-15.324280
610.839844	-15.360672
612.304687	-15.403515
613.769531	-15.450175
615.234375	-15.423166
616.699219	-15.433057
618.164062	-15.486894
619.628906	-15.570838
621.093750	-15.584244
622.558594	-15.563721
624.023437	-15.531904
625.488281	-15.528757
626.953125	-15.550579
628.417969	-15.557608
629.882812	-15.561039
631.347656	-15.548705
632.812500	-15.519282
634.277344	-15.501333
635.742187	-15.473194
637.207031	-15.469528
638.671875	-15.443163
640.136719	-15.471451
641.601562	-15.486887
643.066406	-15.481984
644.531250	-15.468220
645.996094	-15.432798
647.460937	-15.421824
648.925781	-15.403651
650.390625	-15.428911
651.855469	-15.392459
653.320312	-15.214365
654.785156	-15.040799
656.250000	-15.019704
657.714844	-15.082795
659.179687	-15.193071
