# Spectral Data
# f in Hz A in dBV
0.000000 -13.990863
1.464844 -13.220742
2.929687 -12.593173
4.394531 -12.086301
5.859375 -11.659645
7.324219 -11.353777
8.789062 -11.173666
10.253906 -11.099954
11.718750 -11.131860
13.183594 -11.214862
14.648437 -11.356343
16.113281 -11.519871
17.578125 -11.667393
19.042969 -11.815162
20.507812 -11.906364
21.972656 -11.978109
23.437500 -12.003783
24.902344 -12.031542
26.367187 -12.054852
27.832031 -12.097246
29.296875 -12.119069
30.761719 -12.181365
32.226562 -12.258706
33.691406 -12.370269
35.156250 -12.504201
36.621094 -12.655321
38.085937 -12.785414
39.550781 -12.899312
41.015625 -12.958859
42.480469 -13.001463
43.945312 -12.961015
45.410156 -12.887166
46.875000 -12.813715
48.339844 -12.757760
49.804687 -12.682851
51.269531 -12.597386
52.734375 -12.478655
54.199219 -12.355413
55.664062 -12.301260
57.128906 -12.338498
58.593750 -12.432709
60.058594 -12.540374
61.523437 -12.626656
62.988281 -12.661065
64.453125 -12.654479
65.917969 -12.619300
67.382812 -12.604296
68.847656 -12.551481
70.312500 -12.485415
71.777344 -12.432659
73.242187 -12.381006
74.707031 -12.343401
76.171875 -12.313676
77.636719 -12.286014
79.101562 -12.284934
80.566406 -12.308036
82.031250 -12.345141
83.496094 -12.393332
84.960937 -12.489784
86.425781 -12.555599
87.890625 -12.609749
89.355469 -12.704456
90.820312 -12.794186
92.285156 -12.879162
93.750000 -12.912731
95.214844 -12.949125
96.679687 -12.940681
98.144531 -12.899775
99.609375 -12.903327
101.074219 -12.919090
102.539062 -12.943302
104.003906 -12.980621
105.468750 -12.976906
106.933594 -12.967743
108.398437 -12.983293
109.863281 -12.989998
111.328125 -12.986943
112.792969 -12.977329
114.257812 -12.963073
115.722656 -12.961022
117.187500 -12.946528
118.652344 -12.890144
120.117187 -12.839678
121.582031 -12.783311
123.046875 -12.691762
124.511719 -12.542548
125.976562 -12.373331
127.441406 -12.184330
128.906250 -12.004623
130.371094 -11.843703
131.835937 -11.707188
133.300781 -11.605751
134.765625 -11.581333
136.230469 -11.625084
137.695312 -11.753007
139.160156 -11.916752
140.625000 -12.131978
142.089844 -12.330314
143.554687 -12.519522
145.019531 -12.664799
146.484375 -12.800534
147.949219 -12.925819
149.414062 -13.033598
150.878906 -13.098764
152.343750 -13.041996
153.808594 -12.950480
155.273437 -12.934716
156.738281 -12.988553
158.203125 -13.115672
159.667969 -13.286642
161.132812 -13.456252
162.597656 -13.502826
164.062500 -13.553118
165.527344 -13.607011
166.992187 -13.651397
168.457031 -13.691117
169.921875 -13.725511
171.386719 -13.726735
172.851562 -13.710059
174.316406 -13.683750
175.781250 -13.676395
177.246094 -13.666174
178.710937 -13.673602
180.175781 -13.678099
181.640625 -13.691988
183.105469 -13.695625
184.570312 -13.712811
186.035156 -13.720822
187.500000 -13.684086
188.964844 -13.654611
190.429687 -13.648312
191.894531 -13.662432
193.359375 -13.649101
194.824219 -13.649775
196.289062 -13.626430
197.753906 -13.581181
199.218750 -13.513991
200.683594 -13.479372
202.148437 -13.440208
203.613281 -13.389370
205.078125 -13.352499
206.542969 -13.303922
208.007812 -13.258434
209.472656 -13.214642
210.937500 -13.167727
212.402344 -13.158678
213.867187 -13.106247
215.332031 -13.078883
216.796875 -13.060860
218.261719 -13.043907
219.726562 -12.998944
221.191406 -12.961837
222.656250 -12.932526
224.121094 -12.907174
225.585937 -12.885682
227.050781 -12.829641
228.515625 -12.798444
229.980469 -12.758844
231.445312 -12.670430
232.910156 -12.645531
234.375000 -12.585593
235.839844 -12.548909
237.304687 -12.509684
238.769531 -12.433972
240.234375 -12.391083
241.699219 -12.352882
243.164062 -12.288893
244.628906 -12.245725
246.093750 -12.220913
247.558594 -12.188430
249.023437 -12.120901
250.488281 -12.033911
251.953125 -11.957184
253.417969 -11.848174
254.882812 -11.770129
256.347656 -11.689206
257.812500 -11.599123
259.277344 -11.502622
260.742187 -11.431498
262.207031 -11.390035
263.671875 -11.351232
265.136719 -11.360824
266.601562 -11.376740
268.066406 -11.468312
269.531250 -11.573105
270.996094 -11.709112
272.460937 -11.864759
273.925781 -12.027164
275.390625 -12.189106
276.855469 -12.321771
278.320312 -12.446160
279.785156 -12.576815
281.250000 -12.701351
282.714844 -12.838613
284.179687 -12.964667
285.644531 -13.045790
287.109375 -13.135234
288.574219 -13.243687
290.039062 -13.362682
291.503906 -13.434281
292.968750 -13.521248
294.433594 -13.617717
295.898437 -13.710183
297.363281 -13.764190
298.828125 -13.823544
300.292969 -13.895317
301.757812 -13.985610
303.222656 -14.059311
304.687500 -14.098197
306.152344 -14.120339
307.617187 -14.154343
309.082031 -14.196384
310.546875 -14.220399
312.011719 -14.276128
313.476562 -14.323638
314.941406 -14.389345
316.406250 -14.430970
317.871094 -14.491088
319.335937 -14.525454
320.800781 -14.591373
322.265625 -14.603313
323.730469 -14.617351
325.195312 -14.614722
326.660156 -14.633396
328.125000 -14.607854
329.589844 -14.621986
331.054687 -14.647774
332.519531 -14.689278
333.984375 -14.681727
335.449219 -14.694976
336.914062 -14.733629
338.378906 -14.766539
339.843750 -14.796078
341.308594 -14.778815
342.773437 -14.792817
344.238281 -14.782312
345.703125 -14.789963
347.167969 -14.773616
348.632812 -14.749795
350.097656 -14.732075
351.562500 -14.689613
353.027344 -14.596697
354.492187 -14.510749
355.957031 -14.482319
357.421875 -14.518177
358.886719 -14.565081
360.351562 -14.624722
361.816406 -14.637166
363.281250 -14.622669
364.746094 -14.583884
366.210937 -14.548106
367.675781 -14.509298
369.140625 -14.479681
370.605469 -14.427382
372.070312 -14.375989
373.535156 -14.337923
375.000000 -14.277310
376.464844 -14.218415
377.929687 -14.124595
379.394531 -14.035863
380.859375 -13.932402
382.324219 -13.816666
383.789062 -13.714383
385.253906 -13.586818
386.718750 -13.478394
388.183594 -13.336745
389.648437 -13.161298
391.113281 -13.020653
392.578125 -12.938414
394.042969 -12.896828
395.507812 -12.908718
396.972656 -12.983448
398.437500 -13.087122
399.902344 -13.206648
401.367187 -13.304061
402.832031 -13.433686
404.296875 -13.559180
405.761719 -13.669620
407.226562 -13.781556
408.691406 -13.849759
410.156250 -13.896341
411.621094 -13.929201
413.085937 -13.978805
414.550781 -14.009271
416.015625 -14.037761
417.480469 -14.032717
418.945312 -14.032336
420.410156 -14.047141
421.875000 -14.086824
423.339844 -14.116968
424.804687 -14.138795
426.269531 -14.169562
427.734375 -14.145459
429.199219 -14.125455
430.664062 -14.115338
432.128906 -14.109595
433.593750 -14.105023
435.058594 -14.100994
436.523437 -14.105568
437.988281 -14.095564
439.453125 -14.073872
440.917969 -14.067688
442.382812 -14.058201
443.847656 -14.055595
445.312500 -14.031987
446.777344 -14.029666
448.242187 -14.015606
449.707031 -14.005670
451.171875 -13.971963
452.636719 -13.917448
454.101562 -13.871082
455.566406 -13.822934
457.031250 -13.803292
458.496094 -13.844740
459.960937 -13.874604
461.425781 -13.867284
462.890625 -13.853685
